_id,question_code,question_text,trait_measured,best_option,is_active,__v,created_at,updated_at,options.A.text,options.A.score,options.B.text,options.B.score,options.C.text,options.C.score,options.D.text,options.D.score
QST-00001,QST-00001,"A wholesaler offers 15% discount if you pay Rs. 30,000 cash in advance but your wallet is tight. What do you do?",RISK_CONTROL,C,True,0,2026-05-31T05:39:01.491Z,2026-05-31T05:39:01.491Z,Decline. Emergency reserves matter more.,80,Pay and hope sales recover fast.,40,Borrow from a trusted peer merchant to secure the discount.,100,Pay higher price on delivery — no advance risk.,20
QST-00002,QST-00002,"A neighbor asks for Rs. 5,000 goods on informal Udharo credit with no ledger. How do you respond?",HONESTY,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,Insist on writing down terms digitally before handing goods.,100,Provide it — close neighbors deserve trust.,30,"Give Rs. 2,000 max as a test, set a strict repayment deadline.",70,Report them to the bazaar committee.,10
QST-00003,QST-00003,Your NEA electricity bill has an error. It will need an office visit to fix. What do you do?,PLANNING,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,Pay via eSewa immediately to stay on-time. Dispute later.,100,Delay until I visit the office next week.,50,Ignore until they threaten disconnection.,10,Pay and skip the dispute to avoid hassle.,70
QST-00004,QST-00004,You want to buy a new commercial refrigerator. How do you fund it?,CONSCIENTIOUSNESS,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,Save incrementally in my wallet for 6 months then buy.,100,Take a high-interest local loan and buy today.,30,Apply for a digital micro-credit loan matched to my revenue.,90,Buy second-hand with available cash flow now.,40
QST-00005,QST-00005,Sales drop 40% for 3 weeks due to a local festival. How do you manage cash flow?,RISK_CONTROL,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,I have a buffer savings account specifically for slow periods.,100,Reduce stock orders immediately and stretch payment terms.,80,Borrow from family and repay when sales recover.,45,Keep ordering the same stock and hope for quick recovery.,15
QST-00006,QST-00006,A digital payment shows an error but the money landed in your account. What do you do?,HONESTY,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,Report it to the payment provider and customer immediately.,100,Note it and inform both parties when convenient.,75,Wait and see if the customer or provider notices.,25,"Keep it — their system error, not my problem.",5
QST-00007,QST-00007,How consistently do you track your daily income and expenses?,CONSISTENCY,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,Daily — I have a notebook or digital app for it.,100,Weekly — I tally at week's end.,75,Monthly — rough estimate only.,40,I don't track it regularly.,10
QST-00008,QST-00008,"A trusted friend asks you to guarantee their Rs. 200,000 business loan. What do you do?",RISK_CONTROL,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,Agree only after seeing their full financials and plan.,90,Agree to a partial guarantee to limit my exposure.,75,Decline politely to protect my own credit standing.,80,Agree immediately — they're trustworthy.,20
QST-00009,QST-00009,"An emergency (illness, flood) hits. How does it affect your business repayments?",REPAYMENT_ATTITUDE,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,I have emergency savings set aside separately.,100,I'd proactively contact the lender to reschedule.,85,Family first — I'd repay late and apologize.,40,I haven't thought about this scenario.,10
QST-00010,QST-00010,"When do you decide to expand your business (new products, larger space)?",PLANNING,A,True,0,2026-05-31T05:39:01.493Z,2026-05-31T05:39:01.493Z,Only when I have 6+ months of consistent profit growth.,95,When a clear opportunity with manageable risk appears.,85,When a loan becomes available.,45,As soon as I feel confident about it.,25
